canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note,gross_tvpi,gross_dpi,data_source_type
Accel-KKR,Accel-KKR,Accel-KKR Company LLC,2000,PE,PE Buyout,400,Estimated,10.0,2000,Menlo Park CA,Technology buyout,Buyout,"Barracuda Networks, Vertafore, WebMD Health Services",WSIB,ir093024,2.3,2.32,0.0815,True,Mature fund — fully realized. DPI > TVPI indicates full distribution.,,,LP-Disclosed
Accel-KKR,Accel-KKR,"Accel-KKR Capital Partners VII, LP",2025,PE,PE Buyout,3500,Estimated,10.0,2000,Menlo Park CA,Technology buyout,Buyout,,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. No meaningful performance data yet.,,,LP-Disclosed
B Capital,B Capital,"B Capital Global Growth III, L.P.",2023,Growth,Growth Equity,600,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | Fintech | Health | Climate,Growth (Series C–F),"Jungle, Nuvei, Lightcast",CalPERS,unknown,1.0,0.05,,False,Too early — 2023 vintage. DPI minimal. IRR not yet meaningful.,,,LP-Disclosed
B Capital,B Capital,"B Capital Ascent Fund III, L.P.",2024,Venture,Early VC,250,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | Fintech | Deep Tech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
B Capital,B Capital,"B Capital Opportunities Fund II, L.P.",2024,Growth,Opportunities,500,Estimated,6.5,2015,Singapore / LA,Enterprise SaaS | AI | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
Balderton,Balderton Capital,"Balderton Capital Growth II, S.L.P.",2024,Growth,Growth Equity,500,Estimated,4.0,2000,London UK,European tech | Consumer | Fintech | SaaS,Growth (Series C–F),"Revolut, Aircall, Cleo",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
Balderton,Balderton Capital,"Balderton Capital IX, S.L.P.",2024,Venture,Early VC,600,Estimated,4.0,2000,London UK,European tech | Consumer | Fintech | SaaS,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
Base10,Base10 Partners,"Base10 Partners III, L.P.",2022,Venture,Early VC,500,Estimated,1.5,2018,San Francisco CA,Automation | Future of Work | Fintech | Healthcare,Early (Seed–Series B),"Figma, Lyra Health, Addi",CalPERS,unknown,1.0,0.0,0.0041,False,Very early — 2022 vintage with near-zero IRR. Performance not yet meaningful.,,,LP-Disclosed
Base10,Base10 Partners,"Base10 Series B I, L.P.",2023,Venture,Early VC,150,Estimated,1.5,2018,San Francisco CA,Automation | Fintech | Healthcare,Series B specialist,,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. No meaningful performance data yet.,,,LP-Disclosed
Bessemer,Bessemer Venture Partners,BVP Forge Institutional L.P.,2023,Growth,Growth Equity,3500,Estimated,20.0,1911,Redwood City CA,Enterprise | Consumer | Cloud | Fintech,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. No meaningful performance data yet.,,,LP-Disclosed
Bessemer,Bessemer Venture Partners,Bessemer Venture Partners XII Institutional L.P.,2024,Venture,Multi-Stage VC,3500,Estimated,20.0,1911,Redwood City CA,Enterprise | Consumer | Cloud | Fintech | Healthcare,Multi-Stage,"LinkedIn, Shopify, Twilio, Wiz",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
Canaan,Canaan Partners,Canaan Gold Coast L.P.,2023,Venture,Early VC,100,Estimated,5.0,1987,Menlo Park CA,Healthcare | Fintech | Enterprise Tech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. Specialty/sidecar vehicle.,,,LP-Disclosed
Canaan,Canaan Partners,Canaan XIII Healthcare Fund L.P.,2024,Venture,Early VC,200,Estimated,5.0,1987,Menlo Park CA,Healthcare (dedicated),Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Healthcare-dedicated vehicle.,,,LP-Disclosed
Canaan,Canaan Partners,Canaan XIII L.P.,2024,Venture,Multi-Stage VC,700,Estimated,5.0,1987,Menlo Park CA,Healthcare | Fintech | Enterprise Tech,Multi-Stage,"Lending Club, Demostack",CalPERS,unknown,1.0,0.01,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV IV,2011,Venture,Multi-Stage VC,625,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.74,1.66,0.085,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV V,2014,Venture,Multi-Stage VC,635,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,4.47,2.31,0.241,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV Discovery II,2018,Venture,Multi-Stage VC,460,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.7,0.0,0.148,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV VII,2018,Venture,Multi-Stage VC,1880,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.21,0.0,0.049,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV VII Plus,2018,Venture,Multi-Stage VC,250,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.22,0.0,0.05,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV Discovery III,2020,Venture,Multi-Stage VC,560,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.41,0.114,0.162,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV VIII,2020,Venture,Multi-Stage VC,2520,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.06,0.026,0.027,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
GGV,GGV Capital (now Notable Capital),GGV VIII Plus,2020,Venture,Multi-Stage VC,250,Estimated,9.2,2000,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.05,0.0,0.024,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XI - Health Assurance, L.P.",2023,Growth,Health Assurance,750,Estimated,32.0,2000,San Francisco CA,Healthcare transformation | Digital health | AI in health,Growth (Health-focused),"Commure, Transcarent, Collective Health",CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. GC's dedicated health platform vehicle.,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XII - Creation, L.P.",2024,Venture,Company Creation,1500,Confirmed,32.0,2000,San Francisco CA,Company building | AI | Defense | Climate | Health,Incubation / Seed,"Commure, new co-creation ventures",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Studio/creation strategy — distinct from traditional VC.,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XII - Endurance, L.P.",2024,Growth,Growth Equity,1500,Estimated,32.0,2000,San Francisco CA,AI | Fintech | Enterprise | Climate | Defense,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. GC's growth equity arm within Fund XII.,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XII - Health Assurance, L.P.",2024,Growth,Health Assurance,750,Confirmed,32.0,2000,San Francisco CA,Healthcare transformation | Digital health | AI in health,Growth (Health-focused),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Continuation of GC Health Assurance strategy.,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XII - Ignition, L.P.",2024,Venture,Early VC,1500,Estimated,32.0,2000,San Francisco CA,AI | Enterprise | Fintech | Defense | Climate,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. GC's early-stage arm within Fund XII ($8B raise).,,,LP-Disclosed
General Catalyst,General Catalyst,"General Catalyst Group XII, L.P.",2024,Venture,Multi-Stage VC,6000,Confirmed,32.0,2000,San Francisco CA,AI | Enterprise | Fintech | Defense | Climate | Healthcare,Multi-Stage,"Airbnb, Stripe, Canva, Mistral AI",WSIB,ir093024,1.1,,0.138,False,Early-stage performance. 13.8% IRR with 1.1x TVPI — on track but very young.,,,LP-Disclosed
Hedosophia,Hedosophia,Hedosophia Partners VI L.P.,2024,Growth,Opportunities,3000,Estimated,10.0,2009,London UK,Consumer tech | Enterprise | Climate | AI,Late Stage / Crossover,"Airbnb, Bumble, Wealthsimple",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. SPAC-adjacent growth/crossover vehicle (Ian Osborne).,,,LP-Disclosed
Hedosophia,Hedosophia,Hedosophia Strategic Partners L.P.,2024,Growth,Opportunities,500,Estimated,10.0,2009,London UK,Concentrated positions | Consumer tech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Concentrated strategic positions vehicle.,,,LP-Disclosed
HongShan,HongShan,HongShan Capital Growth 2010 Fund LP,2010,Growth,Growth Equity,700,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,3.05,2.71,0.2,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan Capital Venture 2010 Fund LP,2010,Venture,Early VC,500,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,5.72,4.72,0.32,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,"HongShan China Growth Fund V, L.P.",2018,Growth,Growth Equity,2500,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.96,0.0,0.146,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,"HongShan China Seed Fund I, L.P.",2018,Venture,Seed,200,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.08,0.0,0.018,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Venture Fund VII,2018,Venture,Early VC,900,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.17,0.0,0.033,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Growth VI,2020,Growth,Growth Equity,2500,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,0.97,0.0,-0.011,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Seed II,2020,Venture,Seed,200,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.02,0.0,0.008,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Venture VIII,2020,Venture,Early VC,900,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,0.96,0.0,-0.016,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Seed Fund III, L.P.",2022,Venture,Early VC,600,Estimated,15.0,2005,Beijing China,Chinese tech | AI | Consumer | Enterprise | Biotech,Early (Seed–Series A),,CalPERS,unknown,1.0,0.0,-0.096,False,Negative IRR (-9.6%) reflects China tech market headwinds post-2021 regulatory crackdown. Watch carefully.,,,LP-Disclosed
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Venture Fund IX, L.P.",2022,Venture,Early VC,900,Estimated,15.0,2005,Beijing China,Chinese tech | AI | Consumer | Enterprise,Early (Series A–B),,CalPERS,unknown,1.0,0.0,-0.085,False,Negative IRR (-8.5%) — same China tech market headwinds. HongShan became independent from Sequoia in 2023.,,,LP-Disclosed
HongShan,HongShan,HongShan China Expansion I,2022,Growth,Opportunities,1000,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Late Stage / Crossover,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Growth VII,2022,Growth,Growth Equity,2500,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Seed III,2022,Venture,Seed,200,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan,HongShan China Venture IX,2022,Venture,Early VC,900,Estimated,9.0,2005,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Growth Fund VII, L.P.",2023,Growth,Growth Equity,2000,Estimated,15.0,2005,Beijing China,Chinese tech | AI | Consumer | Enterprise,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. Growth equity vehicle in China market.,,,LP-Disclosed
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Expansion Fund I, L.P.",2024,Growth,Opportunities,3000,Estimated,15.0,2005,Beijing China,Chinese tech | AI | Late-stage,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. First standalone expansion/crossover vehicle since Sequoia China independence.,,,LP-Disclosed
IVP,Institutional Venture Partners,"Institutional Venture Partners XIII, L.P.",2010,Venture,Growth VC (Series B–D),750,Estimated,10.0,1980,Menlo Park CA,Later-stage VC | Consumer | Enterprise | SaaS,Series B–D,"Twitter, Snap, Netflix, Dropbox, UiPath",Massachusetts PRIM,2020-Q1,1.71,1.65,0.112,True,Late-stage venture exposure with high realization and stable returns.,,,LP-Disclosed
IVP,Institutional Venture Partners,"Institutional Venture Partners XIV, L.P.",2013,Venture,Growth VC (Series B–D),1000,Estimated,10.0,1980,Menlo Park CA,Later-stage VC | Consumer | Enterprise | SaaS,Series B–D,"Twitter, Snap, Netflix, Dropbox, UiPath",Massachusetts PRIM,2020-Q1,1.47,1.4,0.097,True,Well-realized vintage with moderate net IRR profile.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,"Khosla Ventures III, L.P.",2009,Venture,Multi-Stage VC,1050,Estimated,15.0,2004,Menlo Park CA,Climate | AI | Healthcare | Enterprise | Deep Tech,Multi-Stage (Seed–Growth),"OpenAI, DoorDash, Impossible Foods, Stripe",CalPERS,unknown,1.85,1.81,0.097,True,Mature fund — 1.85x TVPI with 1.81x DPI. Largely realized. 9.7% IRR modest vs top quartile but consistent with Khosla's high-variance strategy.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,Khosla Ventures Seed,2009,Venture,Seed,300,Estimated,15.0,2004,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Pre-Seed/Seed,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,1.53,0.21,0.038,True,Early Khosla seed vintage with moderate realized cash and remaining value.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,"Khosla Ventures Seed, L.P.",2009,Venture,Early VC,600,Estimated,15.0,2004,Menlo Park CA,Climate | AI | Healthcare | Consumer | Deep Tech,Seed,"Square, Clearbit, Kite",CalPERS,unknown,1.18,0.21,0.014,True,Mature seed fund — 1.18x TVPI. Low DPI (0.21x) relative to TVPI suggests remaining value still unrealized. 1.4% IRR disappointing for a 15-year-old seed fund.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,Khosla Ventures IV,2011,Venture,Multi-Stage VC,600,Estimated,15.0,2004,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Multi-Stage,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,4.43,3.04,0.231,True,Top-tier Khosla realization profile with substantial distributed cash.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,Khosla Ventures Seed B,2012,Venture,Seed,200,Estimated,15.0,2004,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Pre-Seed/Seed,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,3.63,2.88,0.184,True,Highly realized seed vintage with strong absolute multiple outcomes.,,,LP-Disclosed
Khosla Ventures,Khosla Ventures,Khosla Ventures V,2014,Venture,Multi-Stage VC,700,Estimated,15.0,2004,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Multi-Stage,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,2.91,1.42,0.19,True,Balanced realized/unrealized return mix with robust net returns.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Opportunity Fund II, LP",2022,Growth,Opportunities,2360,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech | Health,Late Stage / Crossover,"Anthropic, Databricks, Mistral, Snap",CalPERS,unknown,1.0,0.0,0.201,False,20.1% IRR strong for a 2022 vintage growth vehicle. No distributions yet — fully unrealized. Carries significant AI portfolio exposure.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners Select V, L.P.",2022,Growth,Growth Equity,2260,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Growth (Series C–F),"Rubrik, Netskope, Navan",CalPERS,unknown,1.0,0.0,0.108,False,10.8% IRR for 2022 growth vintage — solid but wait for DPI before full judgment.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XIV-A (Inception), L.P.",2022,Venture,Early VC,990,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech | Health,Early (Seed–Series B),"Abridge, Glean, Thinking Machines",CalPERS,unknown,1.0,0.0,0.169,False,16.9% IRR for a 2022 early-stage fund — very promising at this age. Inception/seed tranche of Fund XIV.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XIV-B (Ignite), L.P.",2022,Venture,Early VC,990,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Series A–B),,CalPERS,unknown,1.0,0.0,0.228,False,22.8% IRR — strongest IRR in the Lightspeed 2022 cohort. Ignite tranche covers Series A–B. Watch this closely.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Opportunity Fund III, L.P.",2025,Growth,Opportunities,3300,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners Select VI, L.P.",2025,Growth,Growth Equity,1800,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XV-A (Inception), L.P.",2025,Venture,Early VC,980,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XV-B (Ignite), L.P.",2025,Venture,Early VC,1200,Confirmed,40.0,2000,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Series A–B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield XIV,2013,Venture,Early VC,200,Estimated,3.0,1969,Menlo Park CA,Enterprise SaaS | Consumer | AI | Healthcare,Early (Seed–Series B),"Poshmark, Lyft, HashiCorp, Marketo",Oregon Treasury,2025-Q3,3.8,2.75,0.198,True,Strong mature fund — 3.8x TVPI with 2.75x DPI. 19.8% IRR. Fully entering realization phase. Top-quartile by any benchmark for 2013 vintage.,,,LP-Disclosed
