canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note,gross_tvpi,gross_dpi,data_source_type
Mayfield,Mayfield,Mayfield Select,2017,Growth,Growth Equity,200,Estimated,3.0,1969,Menlo Park CA,Growth-stage select positions | Enterprise | Consumer,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.75,1.14,0.153,True,1.75x TVPI with 1.14x DPI — generating real distributions. 15.3% IRR solid for growth vehicle. Select strategy doubles down on breakout Mayfield portfolio companies.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield XV,2017,Venture,Early VC,250,Estimated,3.0,1969,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),"Hugging Face, CloudSEK, Coda",Oregon Treasury,2025-Q3,2.19,0.39,0.158,True,2.19x TVPI with 0.39x DPI — early distributions starting. 15.8% IRR strong for 2017 vintage. Still substantially unrealized.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield Select II,2021,Growth,Growth Equity,200,Estimated,3.0,1969,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.37,0.0,0.149,False,1.37x TVPI with 0 DPI. 14.9% IRR — early but directionally strong for a 2021 vintage with no distributions yet.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield XVI,2021,Venture,Early VC,250,Estimated,3.0,1969,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),"Pixxel, OttoML",Oregon Treasury,2025-Q3,1.52,0.0,0.184,False,1.52x TVPI — strong markups for 2021. 18.4% IRR impressive with no distributions yet. One of the better 2021 vintage performers in the dataset.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield Select III,2023,Growth,Growth Equity,150,Estimated,3.0,1969,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.05,0.0,,False,Very early — 2023 vintage. Essentially at cost. IRR not reported.,,,LP-Disclosed
Mayfield,Mayfield,Mayfield XVII,2023,Venture,Early VC,250,Estimated,3.0,1969,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),,Oregon Treasury,2025-Q3,1.22,0.0,,False,Early — 2023 vintage. 1.22x marks up from cost. IRR not yet meaningful.,,,LP-Disclosed
Mayfield,Mayfield,"Mayfield XVII, a Delaware Limited Partnership",2024,Venture,Early VC,250,Estimated,3.0,1969,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Appears as duplicate LP position vs Oregon Treasury entry.,,,LP-Disclosed
Mayfield,Mayfield,"Mayfield Select III, a Delaware Limited Partnership",2025,Growth,Growth Equity,150,Estimated,3.0,1969,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Appears as duplicate LP position vs Oregon Treasury entry.,,,LP-Disclosed
NeoTribe,NeoTribe Ventures,NeoTribe Ventures I,2017,Venture,Early VC,75,Estimated,0.6,2016,San Jose CA,Enterprise SaaS | Cybersecurity | Developer tools,Early (Seed–Series B),"Observe Inc., Abnormal Security, Domo",UC Regents,2024-Q2,2.51,0.72,0.224,True,Strong realized and unrealized performance for an early-stage specialist.,,,LP-Disclosed
NeoTribe,NeoTribe Ventures,"NeoTribe Ventures II, L.P.",2019,Venture,Early VC,150,Estimated,0.6,2016,San Jose CA,Enterprise SaaS | Cybersecurity | Developer tools,Early (Seed–Series B),"Observe Inc., Abnormal Security, Domo",UC Regents,2024-Q2,1.01,0.013,0.004,True,Performance remains near cost with limited distributions to date.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India VI,2018,Growth,Growth Equity,1350,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,2.45,0.0,0.218,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Seed Fund I,2019,Venture,Seed,195,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Pre-Seed/Seed,"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.73,0.0,0.154,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Growth III,2020,Growth,Growth Equity,1350,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.15,0.0,0.051,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Venture VII,2020,Venture,Early VC,525,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.13,0.0,0.048,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Seed II,2021,Venture,Seed,195,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Pre-Seed/Seed,"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.03,0.086,0.015,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Growth IV,2022,Growth,Growth Equity,2000,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners India Venture VIII,2022,Venture,Early VC,850,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Peak XV,Peak XV Partners,Peak XV Partners SEA I,2022,Venture,Early VC,850,Estimated,9.0,2006,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital (Legacy Funds),1999,Venture,Multi-Stage VC,750,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Multi-Stage,"Google, PayPal, YouTube, WhatsApp, Airbnb",UC Regents,2024-Q2,4.99,3.1,0.173,True,Long-duration legacy Sequoia vintages with strong realized distributions.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital Global Growth III,2018,Growth,Growth Equity,8000,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),"ByteDance, Klarna, Nubank",UC Regents,2024-Q2,1.9,0.42,0.187,True,Growth vehicle with moderate realization and strong net IRR for vintage.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital US Growth VIII,2018,Growth,Growth Equity,2500,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),"DoorDash, Snowflake",UC Regents,2024-Q2,1.54,0.09,0.104,True,Growth exposure with partial realization and moderate net IRR.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital US Venture XVI,2018,Venture,Early VC,1200,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Early (Seed–Series B),"Stripe, UiPath, Snowflake, Zoom",UC Regents,2024-Q2,3.13,0.0,0.308,True,Top-performing modern Sequoia venture fund in LP-reported disclosures.,,,LP-Disclosed
Sequoia,Sequoia Capital,"Sequoia Global Growth Fund III - Endurance Partners, L.P.",2018,Growth,Growth Equity,8170,Confirmed,56.0,1972,Menlo Park CA,Global tech | Enterprise | Consumer | AI | Fintech,Growth (Series C–F),"Unity Software, Amplitude, Telda",WSIB,ir093024,1.7,0.33,0.16,True,1.7x TVPI with 0.33x DPI — real but modest distributions. 16% IRR for a $8.17B 2018 growth fund is solid. Endurance sub-fund within Sequoia Global Growth III.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital GGF III - U.S./India Annex Fund,2020,Growth,Growth Equity,2000,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),,UC Regents,2024-Q2,0.93,0.0,-0.031,True,Early-mark fund with unrealized losses in current disclosure window.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital US Growth IX,2020,Growth,Growth Equity,2500,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),,UC Regents,2024-Q2,0.96,0.035,-0.017,True,Limited distributions to date; return profile remains mostly unrealized.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital US Venture XVII,2020,Venture,Early VC,1150,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Early (Seed–Series B),,UC Regents,2024-Q2,1.34,0.0,0.142,True,Venture fund with strong paper value but minimal realized cash.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital US/E Seed IV,2021,Venture,Early VC,200,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Pre-Seed/Seed,,UC Regents,2024-Q2,1.13,0.0,0.07,False,Young seed fund; valuation-led performance with no realized distributions yet.,,,LP-Disclosed
Sequoia,Sequoia,Sequoia Capital Fund,2022,Venture,Multi-Stage VC,2850,Estimated,56.0,1972,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Multi-Stage,,UC Regents,2024-Q2,,,,False,Too early for meaningful performance metrics in LP disclosures.,,,LP-Disclosed
The Engine,The Engine,The Engine Fund I,2017,Venture,Deep Tech VC,200,Estimated,1.0,2016,Cambridge MA,Tough Tech | Climate | Biotech | Advanced Manufacturing,Seed–Series A,"Commonwealth Fusion, Via Separations, Zapata Computing",UC Regents,2024-Q2,2.19,0.0,0.208,True,Strong unrealized value creation in deep-tech portfolio construction.,,,LP-Disclosed
The Engine,The Engine,The Engine Fund II,2020,Venture,Deep Tech VC,300,Estimated,1.0,2016,Cambridge MA,Tough Tech | Climate | Biotech | Advanced Manufacturing,Seed–Series A,"Commonwealth Fusion, Via Separations, Zapata Computing",UC Regents,2024-Q2,0.95,0.0,-0.03,True,Early-mark volatility with no realizations yet; still a young vintage.,,,LP-Disclosed
The House Fund,The House Fund,The House Fund,2016,Venture,Early VC,15,Estimated,0.5,2016,Berkeley CA,UC Berkeley ecosystem | Deep Tech | AI | Biotech,Pre-Seed/Seed,"Notion, Figma (via Berkeley connections)",UC Regents,2024-Q2,3.59,0.0,0.194,True,"Strong multiple expansion, mostly unrealized to date.",,,LP-Disclosed
The House Fund,The House Fund,The House Fund II,2017,Venture,Early VC,25,Estimated,0.5,2016,Berkeley CA,UC Berkeley ecosystem | Deep Tech | AI | Biotech,Pre-Seed/Seed,"Notion, Figma (via Berkeley connections)",UC Regents,2024-Q2,1.21,0.0,0.055,True,Modest positive performance with early portfolio maturation.,,,LP-Disclosed
The House Fund,The House Fund,The House Fund III,2021,Venture,Early VC,75,Estimated,0.5,2016,Berkeley CA,UC Berkeley ecosystem | Deep Tech | AI | Biotech,Pre-Seed/Seed,"Notion, Figma (via Berkeley connections)",UC Regents,2024-Q2,0.78,0.0,-0.29,False,Young fund with mark-to-market drawdown and no material distributions.,,,LP-Disclosed
The House Fund,The House Fund,The House Fund Opportunity III,2021,Growth,Opportunities,200,Estimated,0.5,2016,Berkeley CA,UC Berkeley ecosystem | Deep Tech | AI | Biotech,Late Stage / Crossover,"Notion, Figma (via Berkeley connections)",UC Regents,2024-Q2,0.96,0.147,-0.036,False,Opportunity sleeve shows early realization but currently below cost.,,,LP-Disclosed
Thrive Capital,Thrive Capital,"Thrive Capital Partners VIII Growth, L.P.",2023,Growth,Growth Equity,2500,Confirmed,25.0,2009,New York NY,Consumer tech | Enterprise | AI | Fintech,Growth (Series C–F),"Stripe, OpenAI, Anysphere, Physical Intelligence",CalPERS,unknown,1.0,0.16,,False,Small but real DPI (0.16x) — Thrive distributing early. Notable given 2023 vintage. Growth vehicle of Thrive VIII cycle.,,,LP-Disclosed
Thrive Capital,Thrive Capital,"Thrive Capital Partners IX Growth, L.P.",2024,Growth,Growth Equity,4000,Confirmed,25.0,2009,New York NY,Consumer tech | Enterprise | AI | Fintech,Growth (Series C–F),"OpenAI, Stripe, Anysphere",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Part of $5B Thrive IX raise (largest ever for the firm).,,,LP-Disclosed
Thrive Capital,Thrive Capital,"Thrive Capital Partners Opportunity Fund, L.P.",2024,Growth,Opportunities,1500,Estimated,25.0,2009,New York NY,Concentrated late-stage | AI | Consumer | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Concentrated opportunities/crossover vehicle alongside Thrive IX.,,,LP-Disclosed
Thrive Capital,Thrive Capital,"Thrive Capital Partners IX, L.P.",2025,Venture,Early VC,1030,Confirmed,25.0,2009,New York NY,Consumer tech | Enterprise | AI | Fintech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Early-stage tranche of Thrive IX ($1B of $5B total).,,,LP-Disclosed
a16z,Andreessen Horowitz,AH Fund I,2009,Venture,Multi-Stage VC,300,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Skype, Instagram, Lyft, Twitter, GitHub",a16z Firm Disclosure,2025-Q3,6.9,6.0,0.36,True,Flagship fund I. Net DPI 6.0x — nearly fully realized. 2009 vintage now 16 years old. IRR estimated from TVPI/vintage.,9.3,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund II,2010,Venture,Multi-Stage VC,656,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Pinterest, Airbnb, Box, Foursquare",a16z Firm Disclosure,2025-Q3,3.7,3.5,0.16,True,Net DPI 3.5x — largely realized. Strong performance for a $656M 2010 fund.,4.9,,GP-Disclosed
a16z,Andreessen Horowitz,AH Annex Fund,2011,Venture,Multi-Stage VC,204,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Coinbase, Oculus, GitHub",a16z Firm Disclosure,2025-Q3,5.4,5.1,0.28,True,"Net DPI 5.1x — nearly fully realized. Small annex vehicle, exceptional DPI.",7.2,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund III,2012,Venture,Multi-Stage VC,997,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, Coinbase, Slack, GitHub, BuzzFeed",a16z Firm Disclosure,2025-Q3,11.3,5.5,0.25,True,Net TVPI 11.3x — best fund in a16z history. Net DPI 5.5x shows meaningful realization. $997M 2012 vintage.,15.7,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund III Parallel,2012,Venture,Multi-Stage VC,542,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Coinbase, Slack, GitHub",a16z Firm Disclosure,2025-Q3,4.9,3.2,0.2,True,Parallel vehicle to Fund III — co-investment structure. Net DPI 3.2x.,6.7,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund IV,2014,Venture,Multi-Stage VC,1173,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, GitHub, Airbnb, Robinhood, Figma",a16z Firm Disclosure,2025-Q3,4.1,3.0,0.16,True,"Net TVPI 4.1x, Net DPI 3.0x. Solid large-fund performance. Figma was key driver.",5.5,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund IV Parallel,2014,Venture,Multi-Stage VC,587,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Lyft, Figma, Robinhood",a16z Firm Disclosure,2025-Q3,3.5,2.4,0.13,True,Parallel co-invest vehicle. Net DPI 2.4x — good realization for 2014 vintage.,4.7,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund V,2017,Venture,Multi-Stage VC,1189,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Robinhood, Figma, Coinbase, OpenSea",a16z Firm Disclosure,2025-Q3,3.1,0.3,0.12,True,"Net TVPI 3.1x but Net DPI only 0.3x — mostly paper gains. 2017 vintage, distributions lagging.",4.0,,GP-Disclosed
a16z,Andreessen Horowitz,AH Fund V Parallel,2017,Venture,Multi-Stage VC,596,Confirmed,45.0,2009,Menlo Park CA,Enterprise | Consumer | Crypto | Bio | Fintech | Defense,Multi-Stage,"Figma, Robinhood, Coinbase",a16z Firm Disclosure,2025-Q3,6.0,0.4,0.24,True,Parallel vehicle to Fund V. Gross TVPI 8.1x outlier vs main fund — concentrated position. Net DPI 0.4x.,8.1,,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund I (FFI),2005,Venture,Multi-Stage VC,50,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Facebook, Spotify, Airbnb",Founders Fund Firm Disclosure,2024-Q3,,7.7,0.36,True,FFI: $50M 2005 vintage. DPI 7.7x — near fully distributed. Early Palantir and SpaceX. Exceptional realization.,,7.7,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund II (FFII),2007,Venture,Multi-Stage VC,227,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Airbnb, Stripe, Lyft",Founders Fund Firm Disclosure,2024-Q3,,18.6,0.31,True,FFII: $227M 2007 vintage. DPI 18.6x — extraordinary. One of highest DPI figures in any public VC dataset.,,18.6,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund III (FFIII),2010,Venture,Multi-Stage VC,250,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Lyft, Palantir, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,6.0,0.25,True,"FFIII: $250M 2010. TVPI 9.9x, DPI 6.0x — still meaningful unrealized value (SpaceX). Strong realization.",,9.9,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund IV (FFIV),2011,Venture,Multi-Stage VC,625,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Airbnb, Stripe, Oscar Health",Founders Fund Firm Disclosure,2024-Q3,,6.2,0.33,True,FFIV: $625M 2011. DPI 6.2x — strong cash returned. Gross TVPI 10.2x shows large unrealized (SpaceX).,,10.2,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund V (FFV),2014,Venture,Multi-Stage VC,1100,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Lyft, Airbnb, Nubank, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,2.9,0.27,True,FFV: $1.1B 2014. DPI 2.9x — good realization at scale. TVPI 4.0x suggests remaining upside.,,4.0,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VI (FFVI),2017,Venture,Multi-Stage VC,1400,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Anduril, Asana, Convoy",Founders Fund Firm Disclosure,2024-Q3,,0.03,0.24,True,FFVI: $1.4B 2017. TVPI 3.1x but DPI near-zero (0.03x). Classic DPI drought for 2017 vintage — paper gains.,,3.1,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VII (FFVII),2020,Venture,Multi-Stage VC,1500,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril, Stripe",Founders Fund Firm Disclosure,2024-Q3,,,,False,"FFVII: $1.5B 2020. TVPI 1.5x, no DPI data. Too early for meaningful IRR. Net IRR from GP source flagged unreliable (early).",,1.5,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VIII (FFVIII),2023,Venture,Multi-Stage VC,979,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril",Founders Fund Firm Disclosure,2024-Q3,,,,False,FFVIII: $979M 2023. TVPI 1.3x after ~1 year. Far too early for meaningful analysis.,,1.3,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund Growth I,2020,Growth,Growth Equity,1700,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,,False,FF Growth I: $1.7B 2020 growth vehicle. TVPI 1.2x — too early.,,1.2,GP-Disclosed
Founders Fund,Founders Fund,Founders Fund Growth II,2023,Growth,Growth Equity,3400,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,,False,FF Growth II: $3.4B 2023. TVPI 1.0x — essentially first call. No performance data available.,,1.0,GP-Disclosed
Social Capital,Social Capital,Social Capital Fund I,2011,Venture,Multi-Stage VC,1043,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Box, Survey Monkey, Intercom, Wealthfront",Social Capital Firm Disclosure,2024-Q4,2.8,2.1,0.144,True,"Fund I: $1,043M 2011. Net DPI 2.1x, Net TVPI 2.8x. Cambridge Associates Quartile 1 TVPI, Quartile 2 DPI. Solid realization.",3.9,2.7,GP-Disclosed
Social Capital,Social Capital,Social Capital Fund II,2013,Venture,Multi-Stage VC,1475,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Intercom, Credit Karma, Brex",Social Capital Firm Disclosure,2024-Q4,3.9,3.4,0.262,True,"Fund II: $1,475M 2013. Net DPI 3.4x — outstanding realization. CA Quartile 1 on both TVPI and DPI. Best fund in SC portfolio.",5.9,4.5,GP-Disclosed
Social Capital,Social Capital,Social Capital Fund III,2015,Venture,Multi-Stage VC,1447,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Zendesk, Opendoor, Symphony",Social Capital Firm Disclosure,2024-Q4,2.1,1.2,0.144,True,"Fund III: $1,447M 2015. Net DPI 1.2x — partial realization. CA Quartile 1 on both metrics.",2.6,1.3,GP-Disclosed
Social Capital,Social Capital,Social Capital Opportunities I,2015,Growth,Opportunities,253,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare,Late Stage / Crossover,,Social Capital Firm Disclosure,2024-Q4,2.3,1.9,0.173,True,Opps I: $253M 2015 crossover vehicle. Net DPI 1.9x — strong realization for opportunities strategy. CA Quartile 1 DPI.,2.5,2.1,GP-Disclosed
Social Capital,Social Capital,Social Capital Opportunities II,2018,Growth,Opportunities,56,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare,Late Stage / Crossover,,Social Capital Firm Disclosure,2024-Q4,1.8,1.4,0.123,True,Opps II: $56M 2018 crossover vehicle. Net DPI 1.4x at 6 years — meaningful realization. CA Quartile 1 DPI.,2.4,1.4,GP-Disclosed
